id,table_num,table_name,year,crop,area_in_1k_ha,area_in_1k_sq_km,production_in_1k_mt,productivity_in_mt_per_ha,student_name
1,7_1_1 ,"All India Area, Production and Productivity of Horticulture Crops",1992,FRUITS,2874,28.74,28632,9.96,Hisham
2,7_1_1 ,"All India Area, Production and Productivity of Horticulture Crops",2002,FRUITS,4010,40.1,43001,10.72,Hisham
3,7_1_1 ,"All India Area, Production and Productivity of Horticulture Crops",2003,FRUITS,3788,37.88,45203,11.93,Hisham
4,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2004,FRUITS,4661,46.61,45942,9.86,Hisham
5,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2005,FRUITS,5049,50.49,50867,10.07,Hisham
6,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2006,FRUITS,5324,53.24,55356,10.4,Hisham
7,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2007,FRUITS,5554,55.54,59563,10.72,Hisham
8,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2008,FRUITS,5857,58.57,65587,11.2,Hisham
9,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2009,FRUITS,6101,61.01,68466,11.22,Hisham
10,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2010,FRUITS,6329,63.29,71516,11.3,Hisham
11,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2011,FRUITS,6383,63.83,74878,11.73,Hisham
12,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2012,FRUITS,6705,67.05,76424,11.4,Hisham
13,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2013,FRUITS,6982,69.82,81285,11.64,Hisham
14,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2014,FRUITS,7216,72.16,88977,12.33,Hisham
15,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2015,FRUITS,6110,61.1,86602,14.17,Hisham
16,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2016,FRUITS,6301,63.01,90183,14.31,Hisham
17,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2017,FRUITS,6373,63.73,92918,14.58,Hisham
18,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2018,FRUITS,6506,65.06,97358,14.96,Hisham
19,7_1_1 ,"All India Area, Production and Productivity of Horticulture Crops",1992,VEGETABLES,5593,55.93,58532,10.47,Hisham
20,7_1_1 ,"All India Area, Production and Productivity of Horticulture Crops",2002,VEGETABLES,6156,61.56,88622,14.4,Hisham
21,7_1_1 ,"All India Area, Production and Productivity of Horticulture Crops",2003,VEGETABLES,6092,60.92,84815,13.92,Hisham
22,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2004,VEGETABLES,6082,60.82,88334,14.52,Hisham
23,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2005,VEGETABLES,6744,67.44,101246,15.01,Hisham
24,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2006,VEGETABLES,7213,72.13,111399,15.44,Hisham
25,7_1_1,"All India Area, Production and Productivity of Horticulture Crops",2007,VEGETABLES,7581,75.81,114993,15.17,Hisham
