id,table_num,table_name,year,crop_type,crop_name,area_in_1k_ha,area_in_1k_sq_km,production_in_1k_mt,production_in_10lakh_mt,student_name
1,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Almond,21,0.21,10,,Hisham
2,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Aonla/Gooseberry,95,0.95,1173,,Hisham
3,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Apple,319,3.19,2134,,Hisham
4,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Banana,822,8.22,29221,,Hisham
5,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Ber,42,0.42,401,,Hisham
6,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,CITRUS,(ii) Mandarin,299,2.99,3699,,Hisham
7,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,CITRUS,(iii) Sweet Orange( Mosambi),275,2.75,4229,,Hisham
8,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,CITRUS,(iv) Others,111,1.11,777,,Hisham
9,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Custardapple,30,0.3,228,,Hisham
10,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Grapes,123,1.23,2823,,Hisham
11,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Guava,246,2.46,3994,,Hisham
12,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,JackFRUIT,118,1.18,2088,,Hisham
13,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Kiwi,5,0.05,8,,Hisham
14,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Litchi,85,0.85,528,,Hisham
15,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Mango,2163,21.63,18527,,Hisham
16,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Muskmelon,42,0.42,863,,Hisham
17,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Papaya,115,1.15,4913,,Hisham
18,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Passion Fruit,19,0.19,129,,Hisham
19,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Peach,19,0.19,97,,Hisham
20,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Pear,42,0.42,303,,Hisham
21,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Picanut,1,0.01,0,,Hisham
22,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Pineapple,116,1.16,1984,,Hisham
23,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Plum,23,0.23,72,,Hisham
24,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Pomegranate,181,1.81,1789,,Hisham
25,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Sapota,106,1.06,1339,,Hisham
26,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Strawberry,1,0.01,8,,Hisham
27,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Walnut,115,1.15,238,,Hisham
28,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Watermelon,84,0.84,2049,,Hisham
29,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,FRUIT,Others,349,3.49,2938,,Hisham
30,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,VEGETABLE,Beans,218,2.18,2204,,Hisham
31,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,VEGETABLE,Bittergourd,76,0.76,770,,Hisham
32,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,VEGETABLE,Bottlegourd,108,1.08,1826,,Hisham
33,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,VEGETABLE,Brinjal,673,6.73,12589,,Hisham
34,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,VEGETABLE,Cabbage,386,3.86,8585,,Hisham
35,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,VEGETABLE,Capsicum,32,0.32,183,,Hisham
36,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,VEGETABLE,Carrot,64,0.64,968,,Hisham
37,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,VEGETABLE,Cauliflower,411,4.11,7926,,Hisham
38,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,VEGETABLE,Cucumber,43,0.43,678,,Hisham
39,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,VEGETABLE,Chillies (Green),181,1.81,1998,,Hisham
40,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,VEGETABLE,Elephant Foot Yam,24,0.24,678,,Hisham
41,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,VEGETABLE,Mushroom,,0,51,,Hisham
42,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,VEGETABLE,Okra/Ladyfinger,504,5.04,5709,,Hisham
43,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2015,VEGETABLE,Onion,1173,11.73,18927,,Hisham
