id,table_num,table_name,year,crop_name,crop_type,area_in_1k_ha,area_in_1k_sq_km,production_in_1k_mt,productivity_in_mt_per_ha,student_name
1,7_1_3,"Lemon, Orange and Mosambi",2001,Lime/Lemon,FRUIT,164.2,1.642,1377.2,8.4,Hisham
2,7_1_3,"Lemon, Orange and Mosambi",2002,Lime/Lemon,FRUIT,161.3,1.613,1413.7,8.8,Hisham
3,7_1_3,"Lemon, Orange and Mosambi",2003,Lime/Lemon,FRUIT,146.2,1.462,1439.6,9.8,Hisham
4,7_1_3,"Lemon, Orange and Mosambi",2004,Lime/Lemon,FRUIT,167.8,1.678,1493.3,8.9,Hisham
5,7_1_3,"Lemon, Orange and Mosambi",2005,Lime/Lemon,FRUIT,78.9,0.789,1033.1,13.1,Hisham
6,7_1_3,"Lemon, Orange and Mosambi",2006,Lime/Lemon,FRUIT,268.7,2.687,2159,8,Hisham
7,7_1_3,"Lemon, Orange and Mosambi",2007,Lime/Lemon,FRUIT,294.9,2.949,2310.2,7.8,Hisham
8,7_1_3,"Lemon, Orange and Mosambi",2008,Lime/Lemon,FRUIT,302.8,3.028,2501.7,8.3,Hisham
9,7_1_3,"Lemon, Orange and Mosambi",2009,Lime/Lemon,FRUIT,316.1,3.161,2571.5,8.1,Hisham
10,7_1_3,"Lemon, Orange and Mosambi",2010,Lime/Lemon,FRUIT,295.6,2.956,2629.2,8.9,Hisham
11,7_1_3,"Lemon, Orange and Mosambi",2011,Lime/Lemon,FRUIT,219,2.19,2108,9.6,Hisham
12,7_1_3,"Lemon, Orange and Mosambi",2012,Lime/Lemon,FRUIT,234,2.34,2272.1,9.7,Hisham
13,7_1_3,"Lemon, Orange and Mosambi",2013,Lime/Lemon,FRUIT,255.2,2.552,2523.5,9.9,Hisham
14,7_1_3,"Lemon, Orange and Mosambi",2014,Lime/Lemon,FRUIT,286.4,2.864,2835,9.9,Hisham
15,7_1_3,"Lemon, Orange and Mosambi",2015,Lime/Lemon,FRUIT,268.4,2.684,2950.4,11,Hisham
16,7_1_3,"Lemon, Orange and Mosambi",2016,Lime/Lemon,FRUIT,245.2,2.452,2437.6,9.9,Hisham
17,7_1_3,"Lemon, Orange and Mosambi",2017,Lime/Lemon,FRUIT,248.2,2.482,2363.7,9.5,Hisham
18,7_1_3,"Lemon, Orange and Mosambi",2018,Lime/Lemon,FRUIT,286.2,2.862,3148.5,11,Hisham
19,7_1_3,"Lemon, Orange and Mosambi",2001,Orange,FRUIT,NA,NA,NA,NA,Hisham
20,7_1_3,"Lemon, Orange and Mosambi",2002,Orange,FRUIT,198.9,1.989,1660.1,8.3,Hisham
21,7_1_3,"Lemon, Orange and Mosambi",2003,Orange,FRUIT,142.8,1.428,1136.6,8,Hisham
22,7_1_3,"Lemon, Orange and Mosambi",2004,Orange,FRUIT,183.4,1.834,1244.1,6.8,Hisham
